"id","utt","exp","race","gender","question","response","condition"
"R_2uHQ1QnbxOr5ilf","good","frown","L","M","informational goal","1","good frown"
"R_2uHQ1QnbxOr5ilf","good","frown","L","M","social goal","2","good frown"
"R_2uHQ1QnbxOr5ilf","good","smile","B","F","informational goal","4","good smile"
"R_2uHQ1QnbxOr5ilf","good","smile","B","F","social goal","4","good smile"
"R_2uHQ1QnbxOr5ilf","bad","smile","W","M","informational goal","1","bad smile"
"R_2uHQ1QnbxOr5ilf","bad","smile","W","M","social goal","3","bad smile"
"R_2uHQ1QnbxOr5ilf","bad","frown","A","F","informational goal","2","bad frown"
"R_2uHQ1QnbxOr5ilf","bad","frown","A","F","social goal","1","bad frown"
"R_12yHqzTj96oUC4J","good","smile","A","F","informational goal","3","good smile"
"R_12yHqzTj96oUC4J","good","smile","A","F","social goal","4","good smile"
"R_12yHqzTj96oUC4J","good","frown","B","F","informational goal","1","good frown"
"R_12yHqzTj96oUC4J","good","frown","B","F","social goal","2","good frown"
"R_12yHqzTj96oUC4J","bad","smile","L","M","informational goal","2","bad smile"
"R_12yHqzTj96oUC4J","bad","smile","L","M","social goal","3","bad smile"
"R_12yHqzTj96oUC4J","bad","frown","W","M","informational goal","4","bad frown"
"R_12yHqzTj96oUC4J","bad","frown","W","M","social goal","2","bad frown"
"R_2WU7BNJP1HM82AG","bad","smile","L","M","informational goal","2","bad smile"
"R_2WU7BNJP1HM82AG","bad","smile","L","M","social goal","2","bad smile"
"R_2WU7BNJP1HM82AG","bad","frown","A","F","informational goal","3","bad frown"
"R_2WU7BNJP1HM82AG","bad","frown","A","F","social goal","1","bad frown"
"R_2zj3I1KkqLl03oB","good","smile","L","M","informational goal","4","good smile"
"R_2zj3I1KkqLl03oB","good","smile","L","M","social goal","4","good smile"
"R_2zj3I1KkqLl03oB","good","frown","A","F","informational goal","1","good frown"
"R_2zj3I1KkqLl03oB","good","frown","A","F","social goal","1","good frown"
"R_2zj3I1KkqLl03oB","bad","smile","B","F","informational goal","2","bad smile"
"R_2zj3I1KkqLl03oB","bad","smile","B","F","social goal","2","bad smile"
"R_2zj3I1KkqLl03oB","bad","frown","W","M","informational goal","4","bad frown"
"R_2zj3I1KkqLl03oB","bad","frown","W","M","social goal","1","bad frown"
"R_2ylaedopXRm6AYh","good","smile","B","F","informational goal","2","good smile"
"R_2ylaedopXRm6AYh","good","smile","B","F","social goal","2","good smile"
"R_2ylaedopXRm6AYh","good","frown","A","F","informational goal","1","good frown"
"R_2ylaedopXRm6AYh","good","frown","A","F","social goal","4","good frown"
"R_2ylaedopXRm6AYh","bad","smile","L","M","informational goal","4","bad smile"
"R_2ylaedopXRm6AYh","bad","smile","L","M","social goal","1","bad smile"
"R_2ylaedopXRm6AYh","bad","frown","W","M","informational goal","4","bad frown"
"R_2ylaedopXRm6AYh","bad","frown","W","M","social goal","1","bad frown"
"R_2OOcYr6moMo5ggK","good","frown","W","M","informational goal","1","good frown"
"R_2OOcYr6moMo5ggK","good","frown","W","M","social goal","2","good frown"
"R_2OOcYr6moMo5ggK","good","smile","B","F","informational goal","4","good smile"
"R_2OOcYr6moMo5ggK","good","smile","B","F","social goal","4","good smile"
"R_2OOcYr6moMo5ggK","bad","smile","L","M","informational goal","1","bad smile"
"R_2OOcYr6moMo5ggK","bad","smile","L","M","social goal","2","bad smile"
"R_2OOcYr6moMo5ggK","bad","frown","A","F","informational goal","4","bad frown"
"R_2OOcYr6moMo5ggK","bad","frown","A","F","social goal","2","bad frown"
"R_33g20dO2ym5JGmI","good","frown","L","M","informational goal","1","good frown"
"R_33g20dO2ym5JGmI","good","frown","L","M","social goal","3","good frown"
"R_33g20dO2ym5JGmI","good","smile","W","M","informational goal","3","good smile"
"R_33g20dO2ym5JGmI","good","smile","W","M","social goal","3","good smile"
"R_33g20dO2ym5JGmI","bad","frown","B","F","informational goal","3","bad frown"
"R_33g20dO2ym5JGmI","bad","frown","B","F","social goal","1","bad frown"
"R_33g20dO2ym5JGmI","bad","smile","A","F","informational goal","3","bad smile"
"R_33g20dO2ym5JGmI","bad","smile","A","F","social goal","2","bad smile"
"R_28MbK5ivF12splQ","good","frown","B","F","informational goal","1","good frown"
"R_28MbK5ivF12splQ","good","frown","B","F","social goal","3","good frown"
"R_28MbK5ivF12splQ","good","smile","L","M","informational goal","2","good smile"
"R_28MbK5ivF12splQ","good","smile","L","M","social goal","4","good smile"
"R_28MbK5ivF12splQ","bad","frown","W","M","informational goal","4","bad frown"
"R_28MbK5ivF12splQ","bad","frown","W","M","social goal","1","bad frown"
"R_28MbK5ivF12splQ","bad","smile","A","F","informational goal","3","bad smile"
"R_28MbK5ivF12splQ","bad","smile","A","F","social goal","4","bad smile"
"R_1OBwrs5o1kGmRbl","good","frown","W","M","informational goal","2","good frown"
"R_1OBwrs5o1kGmRbl","good","frown","W","M","social goal","2","good frown"
"R_1OBwrs5o1kGmRbl","good","smile","B","F","informational goal","3","good smile"
"R_1OBwrs5o1kGmRbl","good","smile","B","F","social goal","3","good smile"
"R_1OBwrs5o1kGmRbl","bad","smile","L","M","informational goal","3","bad smile"
"R_1OBwrs5o1kGmRbl","bad","smile","L","M","social goal","4","bad smile"
"R_1OBwrs5o1kGmRbl","bad","frown","A","F","informational goal","4","bad frown"
"R_1OBwrs5o1kGmRbl","bad","frown","A","F","social goal","2","bad frown"
"R_1lspOGCHD12tPJo","good","frown","W","M","informational goal","1","good frown"
"R_1lspOGCHD12tPJo","good","frown","W","M","social goal","4","good frown"
"R_1lspOGCHD12tPJo","good","smile","B","F","informational goal","2","good smile"
"R_1lspOGCHD12tPJo","good","smile","B","F","social goal","4","good smile"
"R_1lspOGCHD12tPJo","bad","smile","L","M","informational goal","1","bad smile"
"R_1lspOGCHD12tPJo","bad","smile","L","M","social goal","1","bad smile"
"R_1lspOGCHD12tPJo","bad","frown","A","F","informational goal","3","bad frown"
