"id","utt","exp","race","gender","question","response","condition"
"R_2ah3JsoUhftphO0","good","frown","L","M","true state","1","good frown"
"R_2ah3JsoUhftphO0","good","smile","W","M","true state","3","good smile"
"R_2ah3JsoUhftphO0","bad","frown","B","F","true state","1","bad frown"
"R_2ah3JsoUhftphO0","bad","smile","A","F","true state","1","bad smile"
"R_31XhBCLM7mClTcX","good","smile","W","M","true state","5","good smile"
"R_31XhBCLM7mClTcX","good","frown","A","F","true state","2","good frown"
"R_31XhBCLM7mClTcX","bad","frown","B","F","true state","1","bad frown"
"R_31XhBCLM7mClTcX","bad","smile","L","M","true state","3","bad smile"
"R_1DZOx8PgLIhMroe","good","smile","A","F","true state","4","good smile"
"R_1DZOx8PgLIhMroe","good","frown","W","M","true state","2","good frown"
"R_1DZOx8PgLIhMroe","bad","frown","B","F","true state","1","bad frown"
"R_1DZOx8PgLIhMroe","bad","smile","L","M","true state","5","bad smile"
"R_1I4wr9YBFvDhsQF","good","smile","B","F","true state","5","good smile"
"R_1I4wr9YBFvDhsQF","good","frown","A","F","true state","2","good frown"
"R_1I4wr9YBFvDhsQF","bad","smile","W","M","true state","3","bad smile"
"R_1I4wr9YBFvDhsQF","bad","frown","L","M","true state","1","bad frown"
"R_Zk373mmwFmUgDOV","good","frown","L","M","true state","2","good frown"
"R_Zk373mmwFmUgDOV","good","smile","B","F","true state","6","good smile"
"R_Zk373mmwFmUgDOV","bad","frown","W","M","true state","1","bad frown"
"R_Zk373mmwFmUgDOV","bad","smile","A","F","true state","3","bad smile"
"R_3Eb81Wwy15btalp","good","smile","L","M","true state","5","good smile"
"R_3Eb81Wwy15btalp","good","frown","A","F","true state","3","good frown"
"R_3Eb81Wwy15btalp","bad","smile","B","F","true state","4","bad smile"
"R_3Eb81Wwy15btalp","bad","frown","W","M","true state","1","bad frown"
"R_2AT4zbrosGnyd8F","good","smile","A","F","true state","5","good smile"
"R_2AT4zbrosGnyd8F","good","frown","B","F","true state","2","good frown"
"R_2AT4zbrosGnyd8F","bad","smile","W","M","true state","4","bad smile"
"R_2AT4zbrosGnyd8F","bad","frown","L","M","true state","1","bad frown"
"R_1pxLeQ3CiAaMfkf","good","frown","B","F","true state","1","good frown"
"R_1pxLeQ3CiAaMfkf","good","smile","L","M","true state","4","good smile"
"R_1pxLeQ3CiAaMfkf","bad","frown","W","M","true state","1","bad frown"
"R_1pxLeQ3CiAaMfkf","bad","smile","A","F","true state","2","bad smile"
"R_DSt5KiTGMIcjHcR","good","smile","B","F","true state","6","good smile"
"R_DSt5KiTGMIcjHcR","good","frown","A","F","true state","1","good frown"
"R_DSt5KiTGMIcjHcR","bad","smile","L","M","true state","4","bad smile"
"R_DSt5KiTGMIcjHcR","bad","frown","W","M","true state","1","bad frown"
"R_29s04Qc5Rmz3cMG","good","smile","A","F","true state","6","good smile"
"R_29s04Qc5Rmz3cMG","good","frown","B","F","true state","2","good frown"
"R_29s04Qc5Rmz3cMG","bad","smile","L","M","true state","4","bad smile"
"R_29s04Qc5Rmz3cMG","bad","frown","W","M","true state","1","bad frown"
"R_sBjrbcpapu8051v","good","smile","A","F","true state","5","good smile"
"R_sBjrbcpapu8051v","good","frown","W","M","true state","2","good frown"
"R_sBjrbcpapu8051v","bad","frown","L","M","true state","1","bad frown"
"R_sBjrbcpapu8051v","bad","smile","B","F","true state","2","bad smile"
"R_1cV1AZL405YXl96","good","smile","A","F","true state","6","good smile"
"R_1cV1AZL405YXl96","good","frown","W","M","true state","3","good frown"
"R_1cV1AZL405YXl96","bad","frown","L","M","true state","1","bad frown"
"R_1cV1AZL405YXl96","bad","smile","B","F","true state","4","bad smile"
"R_1g7VpkyuPQOKlHy","good","smile","B","F","true state","5","good smile"
"R_1g7VpkyuPQOKlHy","good","frown","A","F","true state","2","good frown"
